编号,文件名,一级分类,二级分类,适用对象,时效状态,权威级别,版本关系,处理建议
1,2026年新生开学报到通知.docx,新生报到,学院报到通知,2026级卓工学院新生,历史版本,学院通知,报到通知v1,仅作版本追溯
2,2026年新生开学报到通知01.docx,新生报到,学院报到通知,2026级卓工学院新生,历史版本,学院通知,报到通知v2,仅作版本追溯
3,2026年新生开学报到通知02.docx,新生报到,学院报到通知,2026级卓工学院新生,候选现行版,学院通知,报到通知v3,优先阅读并确认是否终稿
4,2026年秋季学期教学安排.pdf,学籍与培养,秋季教学安排,研究生,当前有效,正式教学安排,独立文件,优先阅读
5,2026级全日制博士新生入学事项清单.xlsx,学籍与培养,博士执行清单,2026级全日制博士,当前有效但以官网为准,学院执行清单,与硕士清单模板近重复,博士生专用
6,2026级全日制硕士新生入学事项清单.xlsx,学籍与培养,硕士执行清单,2026级全日制硕士,当前有效但以官网为准,学院执行清单,与博士清单模板近重复,硕士生专用
7,QQ学院群通知记录(复制粘贴).docx,班群通知与来源,群消息摘录,学院研究生,当前参考,群聊二次转发,与正式通知内容重叠,保留来源但不作为最终口径
8,国家卓越工程师学院研究生学业奖学金评审实施细则（2025年）.pdf,奖助与资助,学业奖学金,符合条件的全日制研究生,历史年度待新版,学院实施细则,独立制度,标注2025版并等待2026通知
9,湖南大学2026级研究生新生入学报到须知.pdf,新生报到,校级研究生须知,2026级研究生,当前有效,校级正式通知,独立文件,作为校级总口径
10,湖南大学入学指南2026定稿(4).pdf,新生报到,本科参考,2026级本科生,非研究生核心材料,校级指南,独立文件,与研究生材料分开使用
11,湖南大学国家卓越工程师学院研究生国家奖学金评选实施细则（2025年）.pdf,奖助与资助,国家奖学金,符合条件的全日制研究生,历史年度待新版,学院实施细则,独立制度,标注2025版并等待2026通知
12,湖南大学家庭经济困难学生认定申请表.doc,奖助与资助,困难认定,有需要的学生,疑似旧模板待确认,申请表模板,与2026本科指南内表格存在新旧差异,提交前向资助部门确认
13,计划财务处关于2026年暑期值班安排的通知.pdf,财务事务,暑期值班,需办理财务业务的师生,已结束,校级部门通知,独立文件,归入2026已结束事项
14,附件2.湖南大学研究生院-学堂云平台操作手册（学生）.pdf,课程与平台,学堂云操作,选修平台课程的研究生,当前参考,研究生院操作手册,工程伦理配套附件,与课程通知配套保存
